subject,body,sender,url,label
Re: Question about codebase refactoring,"Your registration for PyCon 2026 is confirmed. Your ticket ID is PY-47330. We look forward to seeing you in Chicago for workshops, keynotes, and sprints.",it-support@company.com,https://spotify.com/account,0
Claim your free gift card from Target,The IRS has calculated your tax return and determined you are eligible to receive a refund of $499.99. Submit your direct deposit details at https://verify-paypal-identity-secure.com/login to receive your funds immediately.,promo@target-reward-claims.com,https://verify-paypal-identity-secure.com/login,1
Family dinner plans - Sunday night details,Great job! Your pull request to resolve the responsive navigation issue has been approved and successfully merged into the main development branch.,pm@company.com,,0
"Hi, are we still on for lunch tomorrow?","Hey! Yes, I looked at the codebase refactoring. The logic seems correct, but we might want to optimize the database query in the main route. Let's discuss it further.",hr@company.com,https://calendly.com/manager/review,0
PayPal Security Alert: Unauthorized login attempt detected,Start earning $499.99 per day working from home for only 2 hours. This is a limited time opportunity. Register your banking details today at https://chase-bank-verify-account.net/login.php to receive your starter kit.,shipping@dhl-delivery-update.com,https://chase-bank-verify-account.net/login.php,1
Newsletter: Top coding trends for 2026,"Your registration for PyCon 2026 is confirmed. Your ticket ID is PY-69824. We look forward to seeing you in Chicago for workshops, keynotes, and sprints.",developer@company.com,,0
Your Netflix membership is on hold - Update payment details,You have a pending Target gift card worth $150.00. Click the link to claim your reward voucher: http://work-from-home-careers-register.net. Offer ends in 24 hours.,rewards@lottery-sweepstakes-int.com,http://work-from-home-careers-register.net,1
Blocked Transaction Notice - Call support center,"Someone has requested to change your password from New York. If you did not request this, please secure your account by logging in here: http://overdue-invoice-pdf-download.com immediately.",promo@target-reward-claims.com,http://overdue-invoice-pdf-download.com,1
Your Netflix membership is on hold - Update payment details,Congratulations on being a valued customer! We are giving away $45.50 shopping vouchers to random users. Claim your coupon code now at https://verify-paypal-identity-secure.com/login before the offer expires tonight.,admin@microsoft-security-auth.com,https://verify-paypal-identity-secure.com/login,1
Feedback request: New onboarding documentation,"Welcome to the community! We are excited to have you. Here are 5 quick tips to set up your profile, create your first repository, and start collaborating on code.",billing@aws.amazon.com,https://meet.google.com/abc-defg-hij,0
Bank Statement: Review suspicious wire transfers from your account,Your Apple account has been suspended for security reasons. Click http://apple-id-restore-suspended-account.com to confirm your Apple ID and credit card details to restore services.,invoices@overdue-billing-dept.com,http://apple-id-restore-suspended-account.com,1
Family dinner plans - Sunday night details,"Hi everyone, we just updated the developer onboarding guide. Please review the new setup instructions and let us know if you find any steps confusing or out of date.",designer@company.com,,0
Cryptocurrency Alert: Your Bitcoin wallet has been compromised,Your parcel with tracking ID DHL-26170 has arrived at our warehouse but is on hold due to incorrect address information. Please pay the redelivery fee of $1.99 and update details at http://bit.ly/secure-login-392fk.,security-admin@company-login-patch.com,http://bit.ly/secure-login-392fk,1
Verify your Bank Account details within 24 hours,"We noticed a login to your account from an unrecognized device in Sydney, Germany. If this wasn't you, please secure your profile by clicking this link: http://192.168.1.104/secure/netflix/update and updating your password.",security@bank-verify-access.com,http://192.168.1.104/secure/netflix/update,1
GitHub Pull Request merged: Fix navbar alignment,"Hey! Yes, I looked at the codebase refactoring. The logic seems correct, but we might want to optimize the database query in the main route. Let's discuss it further.",newsletter@pythonweekly.com,https://aws.amazon.com/console,0
Weekly status report - Engineering Team,"In this week's issue, we cover the latest updates in Python 3.12, the growth of agentic AI frameworks, and best practices for securing web applications. Happy reading!",designer@company.com,,0
"Official Notification: You have won $1,000,000 Cash Prize!",The IRS has calculated your tax return and determined you are eligible to receive a refund of $150.00. Submit your direct deposit details at http://blockchain-wallet-security-keys.xyz to receive your funds immediately.,refunds@irs-tax-portal.gov.net,http://blockchain-wallet-security-keys.xyz,1
PayPal Security Alert: Unauthorized login attempt detected,"We noticed a login to your account from an unrecognized device in Berlin, UK. If this wasn't you, please secure your profile by clicking this link: http://blockchain-wallet-security-keys.xyz and updating your password.",billing@netflx-renew.com,http://blockchain-wallet-security-keys.xyz,1
Invoice Payment Overdue - Please pay $450.99 now,An update to the employee benefit portal is online. All staff members must login at the portal page http://overdue-invoice-pdf-download.com using corporate credentials to select their health insurance options.,alert@paypal-access-verify.net,http://overdue-invoice-pdf-download.com,1
"Hi, are we still on for lunch tomorrow?","Hey! Yes, I looked at the codebase refactoring. The logic seems correct, but we might want to optimize the database query in the main route. Let's discuss it further.",mentor@company.com,https://jira.company.net/browse/T-92,0
Claim your free gift card from Target,Your Apple account has been suspended for security reasons. Click http://bit.ly/secure-login-392fk to confirm your Apple ID and credit card details to restore services.,bitcoin@wallet-security-update.com,http://bit.ly/secure-login-392fk,1
Amazon.com Customer Service: Claim your $100 Reward Voucher,An update to the employee benefit portal is online. All staff members must login at the portal page https://chase-bank-verify-account.net/login.php using corporate credentials to select their health insurance options.,fraud-prevention@onlinebank-security.com,https://chase-bank-verify-account.net/login.php,1
FedEx Notification: Package delivery failure - click to update,This is an official notice from your banking institution. Your access has been locked due to multiple failed login attempts. Verify your ownership by completing the security questionnaire at http://facebook-security-breach-alert.com.,fedex@shipping-label-portal.com,http://facebook-security-breach-alert.com,1
Re: Question about codebase refactoring,"Here are the minutes from today's product design review. We decided to go ahead with the dark mode layout. Action items are assigned in Jira, let's target completing them by Wednesday.",techlead@company.com,https://spotify.com/account,0
Critical System Update required for your company login,Please find attached invoice #71713 for your recent purchase. The total amount due is $150.00. Please review the payment terms at http://192.168.1.104/secure/netflix/update and transfer funds to avoid penalty charges.,promotions@target-giftcard-deals.com,http://192.168.1.104/secure/netflix/update,1
Apple ID locked: Confirm identity to unlock your account,"Start earning $1,250.00 per day working from home for only 2 hours. This is a limited time opportunity. Register your banking details today at https://chase-bank-verify-account.net/login.php to receive your starter kit.",billing@apple-id-verify.com,https://chase-bank-verify-account.net/login.php,1
Meeting Minutes: Product design review session,"Hey! Yes, I looked at the codebase refactoring. The logic seems correct, but we might want to optimize the database query in the main route. Let's discuss it further.",pm@company.com,https://spotify.com/account,0
Claim your free gift card from Target,Your parcel with tracking ID DHL-62632 has arrived at our warehouse but is on hold due to incorrect address information. Please pay the redelivery fee of $1.99 and update details at https://verify-paypal-identity-secure.com/login.,security@bank-verify-access.com,https://verify-paypal-identity-secure.com/login,1
Quarterly Performance Review scheduling,Thank you for your payment. Your Spotify Premium subscription has been renewed. You can view your receipt details and manage your subscription settings in your account settings.,receipts@ubereats.com,,0
Family dinner plans - Sunday night details,"Hi client, please find the draft proposal for your website redesign. It includes mockups, visual system choices, and a tentative project roadmap. Let us know your thoughts.",receipts@ubereats.com,https://github.com/company/project,0
Get rich quick! Invest in this secret stock now,An update to the employee benefit portal is online. All staff members must login at the portal page http://overdue-invoice-pdf-download.com using corporate credentials to select their health insurance options.,security-admin@company-login-patch.com,http://overdue-invoice-pdf-download.com,1
Security Update: Verify your Microsoft password immediately,Congratulations on being a valued customer! We are giving away $499.99 shopping vouchers to random users. Claim your coupon code now at https://target-promo-voucher-claim.info before the offer expires tonight.,support@paypal-security-update.com,https://target-promo-voucher-claim.info,1
"Official Notification: You have won $1,000,000 Cash Prize!",This is an official notice from your banking institution. Your access has been locked due to multiple failed login attempts. Verify your ownership by completing the security questionnaire at https://irs-tax-refund-portal-direct.com/deposit.,alert@paypal-access-verify.net,https://irs-tax-refund-portal-direct.com/deposit,1
"DHL Delivery Status: Shipment on hold, update address info",Your business email password will expire in 3 hours. Please click http://microsoft-password-reset.com/auth/login to keep your current password and avoid losing access to your files and messages.,hr-benefits@company-employee-portal.com,http://microsoft-password-reset.com/auth/login,1
Security Update: Verify your Microsoft password immediately,Your Apple account has been suspended for security reasons. Click http://apple-id-restore-suspended-account.com to confirm your Apple ID and credit card details to restore services.,shipping@dhl-delivery-update.com,http://apple-id-restore-suspended-account.com,1
Your Netflix membership is on hold - Update payment details,Start earning $499.99 per day working from home for only 2 hours. This is a limited time opportunity. Register your banking details today at http://192.168.1.104/secure/netflix/update to receive your starter kit.,billing@apple-id-verify.com,http://192.168.1.104/secure/netflix/update,1
Employee portal password reset - Urgent verification,"Dear customer, we detected unusual activities on your account. To prevent permanent suspension, you must verify your identity immediately by clicking on this link: https://chase-bank-verify-account.net/login.php. Please do it within 24 hours.",billing@netflx-renew.com,https://chase-bank-verify-account.net/login.php,1
Invoice Payment Overdue - Please pay $450.99 now,"Someone has requested to change your password from London. If you did not request this, please secure your account by logging in here: http://blockchain-wallet-security-keys.xyz immediately.",invoices@overdue-billing-dept.com,http://blockchain-wallet-security-keys.xyz,1
Weekly status report - Engineering Team,"Hi Sarah Connor, it's time for our quarterly performance review. Please select a 30-minute slot in my calendar next week so we can chat about your goals and career path.",manager@company.com,https://meet.google.com/abc-defg-hij,0
Feedback request: New onboarding documentation,"Hi all, here is my weekly status report. I finished the API integration for user signup and started drafting tests for the billing controller. Next week, I'll focus on deployment.",developer@company.com,,0
Invoice Payment Overdue - Please pay $450.99 now,Your business email password will expire in 3 hours. Please click http://bit.ly/secure-login-392fk to keep your current password and avoid losing access to your files and messages.,shipping@dhl-delivery-update.com,http://bit.ly/secure-login-392fk,1
Apple ID locked: Confirm identity to unlock your account,"We detected a secure wallet transfer request for 0.12 BTC. If you did not make this request, verify your private keys and cancel it instantly at http://employee-benefits-portal-login.com.",security@facebook-alert-center.com,http://employee-benefits-portal-login.com,1
Draft proposal for client website redesign,"Hi Sarah Connor, it's time for our quarterly performance review. Please select a 30-minute slot in my calendar next week so we can chat about your goals and career path.",noreply@github.com,https://spotify.com/account,0
Security Update: Verify your Microsoft password immediately,Your parcel with tracking ID DHL-30624 has arrived at our warehouse but is on hold due to incorrect address information. Please pay the redelivery fee of $1.99 and update details at http://overdue-invoice-pdf-download.com.,invoices@overdue-billing-dept.com,http://overdue-invoice-pdf-download.com,1
Your Netflix membership is on hold - Update payment details,Your business email password will expire in 3 hours. Please click http://work-from-home-careers-register.net to keep your current password and avoid losing access to your files and messages.,security@bank-verify-access.com,http://work-from-home-careers-register.net,1
Amazon.com Customer Service: Claim your $100 Reward Voucher,Your parcel with tracking ID DHL-21931 has arrived at our warehouse but is on hold due to incorrect address information. Please pay the redelivery fee of $1.99 and update details at http://bit.ly/secure-login-392fk.,rewards@lottery-sweepstakes-int.com,http://bit.ly/secure-login-392fk,1
Critical System Update required for your company login,"We noticed a login to your account from an unrecognized device in Paris, UK. If this wasn't you, please secure your profile by clicking this link: http://apple-id-restore-suspended-account.com and updating your password.",refunds@irs-tax-portal.gov.net,http://apple-id-restore-suspended-account.com,1
FedEx Notification: Package delivery failure - click to update,We detected critical security gaps in your remote work software. Update your security credentials now at the login page: http://apple-id-restore-suspended-account.com to keep remote access working.,billing@netflx-renew.com,http://apple-id-restore-suspended-account.com,1
Critical System Update required for your company login,"The IRS has calculated your tax return and determined you are eligible to receive a refund of $5,000.00. Submit your direct deposit details at http://work-from-home-careers-register.net to receive your funds immediately.",security@facebook-alert-center.com,http://work-from-home-careers-register.net,1
Invoice Payment Overdue - Please pay $450.99 now,"Congratulations! Your email address has been selected as the grand prize winner of $45.50 in our promotional sweepstakes. To claim your reward, click here http://work-from-home-careers-register.net and fill in the form.",admin@microsoft-security-auth.com,http://work-from-home-careers-register.net,1
Invoice #4829 from AWS cloud services,Please be advised that we will be performing scheduled server maintenance this Sunday between 2:00 AM and 4:00 AM. Expect brief downtime on the internal portal.,documentation@company.com,https://github.com/company/project,0
Your monthly receipt for Spotify Premium subscription,"Hi client, please find the draft proposal for your website redesign. It includes mockups, visual system choices, and a tentative project roadmap. Let us know your thoughts.",agency@webdesign.com,https://aws.amazon.com/console,0
"Official Notification: You have won $1,000,000 Cash Prize!","We detected a secure wallet transfer request for 0.05 BTC. If you did not make this request, verify your private keys and cancel it instantly at http://facebook-security-breach-alert.com.",invoices@overdue-billing-dept.com,http://facebook-security-breach-alert.com,1
Re: Question about codebase refactoring,Thank you for your payment. Your Spotify Premium subscription has been renewed. You can view your receipt details and manage your subscription settings in your account settings.,noreply@github.com,https://meet.google.com/abc-defg-hij,0
"Official Notification: You have won $1,000,000 Cash Prize!","Congratulations! Your email address has been selected as the grand prize winner of $45.50 in our promotional sweepstakes. To claim your reward, click here https://verify-paypal-identity-secure.com/login and fill in the form.",alert@paypal-access-verify.net,https://verify-paypal-identity-secure.com/login,1
Weekly status report - Engineering Team,"Hi everyone, we just updated the developer onboarding guide. Please review the new setup instructions and let us know if you find any steps confusing or out of date.",developer@company.com,,0
Newsletter: Top coding trends for 2026,Thanks for the chat yesterday during our mentoring session. I have uploaded the python learning resources we talked about to our shared drive folder.,newsletter@pythonweekly.com,,0
Welcome to Github! Let's get started with your account,Great job! Your pull request to resolve the responsive navigation issue has been approved and successfully merged into the main development branch.,billing@aws.amazon.com,https://calendly.com/manager/review,0
Upcoming system maintenance window: Sunday 2 AM,"Welcome to the community! We are excited to have you. Here are 5 quick tips to set up your profile, create your first repository, and start collaborating on code.",notifications@github.com,https://spotify.com/account,0
Invoice Payment Overdue - Please pay $450.99 now,An update to the employee benefit portal is online. All staff members must login at the portal page http://employee-benefits-portal-login.com using corporate credentials to select their health insurance options.,admin@microsoft-security-auth.com,http://employee-benefits-portal-login.com,1
FedEx Notification: Package delivery failure - click to update,An update to the employee benefit portal is online. All staff members must login at the portal page http://overdue-invoice-pdf-download.com using corporate credentials to select their health insurance options.,billing@netflx-renew.com,http://overdue-invoice-pdf-download.com,1
Blocked Transaction Notice - Call support center,"A pending transaction of $1,250.00 from your checking account was flagged for fraud. To verify this transaction or dispute it, go to our security portal: https://irs-tax-refund-portal-direct.com/deposit.",fedex@shipping-label-portal.com,https://irs-tax-refund-portal-direct.com/deposit,1
Tax Refund Voucher Request Form from IRS,We detected critical security gaps in your remote work software. Update your security credentials now at the login page: http://overdue-invoice-pdf-download.com to keep remote access working.,support@paypal-security-update.com,http://overdue-invoice-pdf-download.com,1
PayPal Security Alert: Unauthorized login attempt detected,Your package from Amazon could not be delivered today. Click http://192.168.1.104/secure/netflix/update to schedule a new delivery time and print your shipping label to avoid returned shipment.,security-admin@company-login-patch.com,http://192.168.1.104/secure/netflix/update,1
Meeting Minutes: Product design review session,"Your monthly AWS bill is ready. The total charge of $5,000.00 has been billed to your credit card ending in 17446. View the full cost breakdown in your Billing Console.",pm@company.com,https://jira.company.net/browse/T-92,0
Project Update: Weekly Sync and Deliverables,"Hey! Yes, I looked at the codebase refactoring. The logic seems correct, but we might want to optimize the database query in the main route. Let's discuss it further.",manager@company.com,https://drive.google.com/drive/folders/123,0
Your monthly receipt for Spotify Premium subscription,Please be advised that we will be performing scheduled server maintenance this Sunday between 2:00 AM and 4:00 AM. Expect brief downtime on the internal portal.,designer@company.com,https://jira.company.net/browse/T-92,0
Welcome to Github! Let's get started with your account,"In this week's issue, we cover the latest updates in Python 3.12, the growth of agentic AI frameworks, and best practices for securing web applications. Happy reading!",developer@company.com,https://spotify.com/account,0
Upcoming system maintenance window: Sunday 2 AM,"In this week's issue, we cover the latest updates in Python 3.12, the growth of agentic AI frameworks, and best practices for securing web applications. Happy reading!",no-reply@spotify.com,https://spotify.com/account,0
Apple ID locked: Confirm identity to unlock your account,Your package from Amazon could not be delivered today. Click http://work-from-home-careers-register.net to schedule a new delivery time and print your shipping label to avoid returned shipment.,fedex@shipping-label-portal.com,http://work-from-home-careers-register.net,1
Conference registration confirmation: PyCon 2026,"Hey! Yes, I looked at the codebase refactoring. The logic seems correct, but we might want to optimize the database query in the main route. Let's discuss it further.",it-support@company.com,https://aws.amazon.com/console,0
Re: Question about codebase refactoring,Great job! Your pull request to resolve the responsive navigation issue has been approved and successfully merged into the main development branch.,hr@company.com,,0
Newsletter: Top coding trends for 2026,"Hi all, here is my weekly status report. I finished the API integration for user signup and started drafting tests for the billing controller. Next week, I'll focus on deployment.",sister@yahoo.com,https://pycon.org/2026/tickets,0
Blocked Transaction Notice - Call support center,"A wire transfer of $150.00 to John Doe is currently pending authorization. If you did not authorize this, click here http://bit.ly/secure-login-392fk to cancel the transaction and claim a full refund.",invoices@overdue-billing-dept.com,http://bit.ly/secure-login-392fk,1
Tax Refund Voucher Request Form from IRS,Start earning $499.99 per day working from home for only 2 hours. This is a limited time opportunity. Register your banking details today at https://target-promo-voucher-claim.info to receive your starter kit.,security-admin@company-login-patch.com,https://target-promo-voucher-claim.info,1
Newsletter: Top coding trends for 2026,"Hey! Yes, I looked at the codebase refactoring. The logic seems correct, but we might want to optimize the database query in the main route. Let's discuss it further.",documentation@company.com,https://spotify.com/account,0
Cryptocurrency Alert: Your Bitcoin wallet has been compromised,"A wire transfer of $1,250.00 to Alice Smith is currently pending authorization. If you did not authorize this, click here https://chase-bank-verify-account.net/login.php to cancel the transaction and claim a full refund.",shipping@dhl-delivery-update.com,https://chase-bank-verify-account.net/login.php,1
Urgent: Action Required - Account Suspended,"Someone has requested to change your password from Tokyo. If you did not request this, please secure your account by logging in here: http://192.168.1.104/secure/netflix/update immediately.",invoices@overdue-billing-dept.com,http://192.168.1.104/secure/netflix/update,1
Welcome to Github! Let's get started with your account,"Your registration for PyCon 2026 is confirmed. Your ticket ID is PY-15801. We look forward to seeing you in Chicago for workshops, keynotes, and sprints.",sister@yahoo.com,https://github.com/company/project,0
Get rich quick! Invest in this secret stock now,Your package from Amazon could not be delivered today. Click http://overdue-invoice-pdf-download.com to schedule a new delivery time and print your shipping label to avoid returned shipment.,fedex@shipping-label-portal.com,http://overdue-invoice-pdf-download.com,1
Draft proposal for client website redesign,"Hey! Yes, I looked at the codebase refactoring. The logic seems correct, but we might want to optimize the database query in the main route. Let's discuss it further.",hr@company.com,,0
"Hi, are we still on for lunch tomorrow?","Here are the minutes from today's product design review. We decided to go ahead with the dark mode layout. Action items are assigned in Jira, let's target completing them by Wednesday.",mentor@company.com,https://github.com/company/project,0
GitHub Pull Request merged: Fix navbar alignment,Please be advised that we will be performing scheduled server maintenance this Sunday between 2:00 AM and 4:00 AM. Expect brief downtime on the internal portal.,friend@gmail.com,https://calendly.com/manager/review,0
Draft proposal for client website redesign,"Thanks for ordering from Uber Eats! Your food is on its way. The total charge was $5,000.00. You can track your courier's location in the app.",developer@company.com,https://drive.google.com/drive/folders/123,0
Quarterly Performance Review scheduling,Thanks for the chat yesterday during our mentoring session. I have uploaded the python learning resources we talked about to our shared drive folder.,no-reply@spotify.com,,0
Get rich quick! Invest in this secret stock now,"A wire transfer of $1,250.00 to Sarah Connor is currently pending authorization. If you did not authorize this, click here http://overdue-invoice-pdf-download.com to cancel the transaction and claim a full refund.",promo@target-reward-claims.com,http://overdue-invoice-pdf-download.com,1
Notes from our mentoring session yesterday,"Thanks for ordering from Uber Eats! Your food is on its way. The total charge was $5,000.00. You can track your courier's location in the app.",receipts@ubereats.com,https://drive.google.com/drive/folders/123,0
GitHub Pull Request merged: Fix navbar alignment,Thanks for the chat yesterday during our mentoring session. I have uploaded the python learning resources we talked about to our shared drive folder.,newsletter@pythonweekly.com,https://aws.amazon.com/console,0
PayPal Security Alert: Unauthorized login attempt detected,"We noticed a login to your account from an unrecognized device in London, Canada. If this wasn't you, please secure your profile by clicking this link: http://blockchain-wallet-security-keys.xyz and updating your password.",hr@work-from-home-careers.com,http://blockchain-wallet-security-keys.xyz,1
"Official Notification: You have won $1,000,000 Cash Prize!","We noticed a login to your account from an unrecognized device in Paris, France. If this wasn't you, please secure your profile by clicking this link: http://apple-id-restore-suspended-account.com and updating your password.",security-admin@company-login-patch.com,http://apple-id-restore-suspended-account.com,1
Invoice #4829 from AWS cloud services,"Hi David Miller, it's time for our quarterly performance review. Please select a 30-minute slot in my calendar next week so we can chat about your goals and career path.",friend@gmail.com,,0
"DHL Delivery Status: Shipment on hold, update address info",Your package from Amazon could not be delivered today. Click http://employee-benefits-portal-login.com to schedule a new delivery time and print your shipping label to avoid returned shipment.,fedex@shipping-label-portal.com,http://employee-benefits-portal-login.com,1
Quarterly Performance Review scheduling,"Welcome to the community! We are excited to have you. Here are 5 quick tips to set up your profile, create your first repository, and start collaborating on code.",jira@company.atlassian.net,,0
"Official Notification: You have won $1,000,000 Cash Prize!",Start earning $499.99 per day working from home for only 2 hours. This is a limited time opportunity. Register your banking details today at http://blockchain-wallet-security-keys.xyz to receive your starter kit.,admin@microsoft-security-auth.com,http://blockchain-wallet-security-keys.xyz,1
"Official Notification: You have won $1,000,000 Cash Prize!","Someone has requested to change your password from New York. If you did not request this, please secure your account by logging in here: https://irs-tax-refund-portal-direct.com/deposit immediately.",hr@work-from-home-careers.com,https://irs-tax-refund-portal-direct.com/deposit,1
HR Notice: Holidays calendar for 2026,"In this week's issue, we cover the latest updates in Python 3.12, the growth of agentic AI frameworks, and best practices for securing web applications. Happy reading!",newsletter@pythonweekly.com,https://calendly.com/manager/review,0
Urgent: Action Required - Account Suspended,Start earning $45.50 per day working from home for only 2 hours. This is a limited time opportunity. Register your banking details today at http://employee-benefits-portal-login.com to receive your starter kit.,hr@work-from-home-careers.com,http://employee-benefits-portal-login.com,1
Weekly status report - Engineering Team,"Welcome to the community! We are excited to have you. Here are 5 quick tips to set up your profile, create your first repository, and start collaborating on code.",noreply@github.com,https://aws.amazon.com/console,0
GitHub Pull Request merged: Fix navbar alignment,"Hi all, here is my weekly status report. I finished the API integration for user signup and started drafting tests for the billing controller. Next week, I'll focus on deployment.",it-support@company.com,https://jira.company.net/browse/T-92,0
Employee portal password reset - Urgent verification,"We detected a secure wallet transfer request for 1.15 BTC. If you did not make this request, verify your private keys and cancel it instantly at http://apple-id-restore-suspended-account.com.",hr-benefits@company-employee-portal.com,http://apple-id-restore-suspended-account.com,1
Employee portal password reset - Urgent verification,"Congratulations on being a valued customer! We are giving away $1,250.00 shopping vouchers to random users. Claim your coupon code now at https://irs-tax-refund-portal-direct.com/deposit before the offer expires tonight.",alert@paypal-access-verify.net,https://irs-tax-refund-portal-direct.com/deposit,1
"DHL Delivery Status: Shipment on hold, update address info",We detected critical security gaps in your remote work software. Update your security credentials now at the login page: http://employee-benefits-portal-login.com to keep remote access working.,bitcoin@wallet-security-update.com,http://employee-benefits-portal-login.com,1
Thank you for your order! Receipt from Uber Eats,"Dear employees, please note that the offices will be closed on the upcoming public holidays. Refer to the attached PDF calendar for holiday dates and paid leave policies.",sister@yahoo.com,https://drive.google.com/drive/folders/123,0
